Model,RMSE,MAE,R2,MAPE,Final_Train_Error,Final_Val_Error,Train_Val_Gap,Dropout_Rate
Dropout=0.0,20032.914862576567,15094.201777008995,0.9246933239129267,8.883471708284837,0.00035409338751376884,0.000875636541421054,0.0005215431539072851,0.0
Dropout=0.1,21929.941054525614,16576.885334429266,0.9097556300956617,10.135389509323266,0.0014499718256446986,0.0011749179908523621,0.00027505383479233653,0.1
Dropout=0.2,36403.080188623935,23855.4383615013,0.7513311115886421,11.605849419947868,0.0019275215703042088,0.0010786134232761316,0.0008489081470280772,0.2
Dropout=0.3,40859.18575986419,29868.122659893554,0.6867258185625895,16.166096989364227,0.0024189048352134066,0.0017808706629852645,0.0006380341722281421,0.3
Dropout=0.5,47159.0016059612,32759.527375264635,0.5826750090550712,17.045908432980823,0.003387546293097674,0.002088292290809581,0.001299254002288093,0.5
