Model,RMSE,MAE,R2,MAPE,Final_Train_Error,Final_Val_Error,Train_Val_Gap,L2_Lambda
L2=0.0,30420.391017382088,21053.99643036435,0.8263500060622635,10.835803030659408,0.0010065432593821136,0.0009869883307585695,1.9554928623544132e-05,0.0
L2=0.0001,29556.523520500778,20401.69576386511,0.8360724722695534,10.51254863245452,0.0013959291855176823,0.0013769805881345605,1.8948597383121888e-05,0.0001
L2=0.001,53685.18363404582,36368.14955504086,0.45917834319412476,19.036704189026022,0.0050903966156238024,0.004645166204505115,0.0004452304111186873,0.001
L2=0.01,75762.69490699173,57965.34329037049,-0.07709997767078414,33.090403748025196,0.00700877860748296,0.006130460073588517,0.0008783185338944429,0.01
L2=0.1,75744.1080716247,57964.630843062616,-0.07657155337837152,33.10404186318125,0.0070082624739825575,0.006131163408734387,0.0008770990652481707,0.1
